doc_id,title,citation,source_url,doc_type,access,status,consolidation_date,retrieval_date,local_file,sha256,licence_note,phase,notes
sabs-o-reg-34-10,"Statutory Accident Benefits Schedule - Effective September 1, 2010",O. Reg. 34/10,https://www.ontario.ca/laws/regulation/100034,regulation,script,current,2026-07-01,2026-09-01,,8a2f34b7ee3bab1e704d998cfc32402e1496ef1e03e901ba948ae34a2afa17ae,King's Printer for Ontario - free reproduction if accurate; must acknowledge Crown copyright and state it is not an official version,v1,81 sections / 263 subsections / 267 clauses / 36 definitions / 2 tables. Carries the General Exclusions - the primary exclusion slice of the golden set.
fault-rules-rro-668,Fault Determination Rules,"R.R.O. 1990, Reg. 668",https://www.ontario.ca/laws/regulation/900668,regulation,script,current,2018-10-17,2026-09-01,,6f2d63756b057e6dcb359848384c768172076d2cc28e525fcd750d36c2becb63,King's Printer for Ontario - free reproduction if accurate; must acknowledge Crown copyright and state it is not an official version,v1,"20 sections / 41 subsections covering 40+ collision scenarios that differ by a single condition. 21 scanned-e paragraphs and ~40 diagram images: flag these pages, do not index empty chunks (OCR is out of scope). Affected scenarios excluded from the golden set and disclosed in the README."
auto-insurance-rro-664,Automobile Insurance,"R.R.O. 1990, Reg. 664",https://www.ontario.ca/laws/regulation/900664,regulation,script,current,2026-07-01,2026-09-01,,c8227ed212f0da509a4257e42509ad82529dff7c55162978f34718ece8ae56ab,King's Printer for Ontario - free reproduction if accurate; must acknowledge Crown copyright and state it is not an official version,v1,30 sections / 79 subsections / 63 clauses / 16 definitions. Statutory conditions and the coverage frame that OAP 1 sits inside.
insurance-act-part-vi,Insurance Act - Part VI (Automobile Insurance),"R.S.O. 1990, c. I.8",https://www.ontario.ca/laws/statute/90i08,statute,script,current,2026-01-01,2026-09-01,,ca8f298eb4616e1c9631b349deb2ab914f28110ecc25ad91d7bc50b47e10eb81,King's Printer for Ontario - free reproduction if accurate; must acknowledge Crown copyright and state it is not an official version,v1,"BLOCKED ON STEP 3: only Part VI is in scope but the fetch returns the whole 1.3 MB Act (536 sections, mostly life/fire/mutual licensing). Part markers were not found in the body on a first pass - only in the table of contents. Solve the slice or drop this row. Statutes use un-suffixed markup classes (section, not section-e). Carries s. 267.5 tort threshold, statutory deductibles, s. 258, and the definition of automobile."
court-proceedings-o-reg-461-96,"Court Proceedings for Automobile Accidents that Occur on or after November 1, 1996",O. Reg. 461/96,https://www.ontario.ca/laws/regulation/960461,regulation,script,current,2020-01-01,2026-09-01,,41cab151eca3e80aee65c4869668b6f1bde5bddf71758bb8ff43a1a3e550843b,King's Printer for Ontario - free reproduction if accurate; must acknowledge Crown copyright and state it is not an official version,v1,13 sections / 27 subsections / 31 KB. Monetary deductibles and threshold mechanics that s. 267.5 of the Act points at. Small and high-value.
oap-1,Ontario Automobile Policy (OAP 1) Owner's Policy,FSRA approved form OAP 1,https://www.fsrao.ca/automobile-insurance-policy-oap-1-application-and-endorsement-forms,policy,manual,current,,,OAP1_EN.5-07-2026_aoda (1).pdf,,Verify before any redistribution - not redistributed here; citations link to the original,v1,"68 pages, 8 sections, 164-entry EMBEDDED TOC four levels deep giving exact clause numbers - no heading heuristics needed. Two-column layout (block x-starts cluster at ~18-86 and ~302-309 on a 612pt page), so extraction must be layout-aware. 86 leaf TOC entries including the s.1.3 defined terms. Exclusions live at 1.8, 3.5.1, 7.2, 7.2.3; s.8 is Statutory Conditions. NOTE: the word 'exclusion' appears only twice in 68 pages - exclusions are phrased 'Who and What We Won't Cover' / 'Not Covered' / 'we will not', so chunk_role classification must key on TOC headings and trigger phrases, never the literal word."
fsra-minor-injury-guideline,Minor Injury Guideline,FSRA AU0026ORG,https://www.fsrao.ca/industry/auto-insurance/regulatory-framework/guidance-auto-insurance,bulletin,manual,current,,,AU0026ORG_February 2014  - Superintendent’s Guideline No. 01 14 - Minor Injury Guideline.pdf,,Verify before any redistribution - not redistributed here; citations link to the original,v1,MANDATORY. SABS names this guideline 33 times and s.40 is titled after it. Without it the minor-injury benefit cap is a dangling reference: SABS says 'as set out in the Minor Injury Guideline' and the system cannot read it. Highest-value FSRA document of the 74 active guidance entries.
fsra-attendant-care-rate,Superintendent's Guideline No. 01/18: Attendant Care Hourly Rate Guideline,FSRA AU0053ORG,https://www.fsrao.ca/industry/auto-insurance/regulatory-framework/guidance-auto-insurance,bulletin,manual,current,,,AU0053ORG_Superintendent’s Guideline No. 01-18 Attendant Care Hourly Rate Guideline.pdf,,Verify before any redistribution - not redistributed here; citations link to the original,v1,"'attendant care' appears 104 times in SABS: SABS grants the benefit, this sets the rate - a clean two-hop. SUPERSESSION RISK: AU0049, AU0053 and AU0054 all cover attendant care rates. Take only the current one; downloading all three recreates the revoked-SABS trap (near-identical text, different amounts, no structural marker). Note SABS deems references to a CEO guideline to include the last Superintendent's guideline issued before 2019-06-08, so a 2018 guideline may still govern."
fsra-indexation-amounts,Automobile Insurance Indexation Amounts,FSRA AU0129DEC,https://www.fsrao.ca/industry/auto-insurance/regulatory-framework/guidance-auto-insurance,bulletin,manual,current,,,2165 - 2026 Auto Indexation Amounts Guidance_EN.pdf,,Verify before any redistribution - not redistributed here; citations link to the original,v1,SABS refers to indexation 25 times but never states the figures. 'What is the weekly income replacement maximum?' needs the SABS formula plus this document for the number - a clean two-hop.
fsra-transportation-expense,Superintendent's Guideline No. 04/16: Transportation Expense Guideline,FSRA AU0125ORG,https://www.fsrao.ca/industry/auto-insurance/regulatory-framework/guidance-auto-insurance,bulletin,manual,current,,,AU0125ORG_Superintendent's Guideline No. 04-16 Transportation Expense Guideline.pdf,,Verify before any redistribution - not redistributed here; citations link to the original,v1,"'transportation expense' appears 14 times in SABS. Same pattern: SABS grants the benefit, the guideline sets the rate."
